athlete_id,athlete_name,round,team_id,team_name,assistances,receivedBalls,recoveredBalls,lostBalls,yellowCards,redCards,cards,crossBalls,receivedCrossBalls,missedCrossBalls,receivedCrossBallsPercent,defenses,sucessfulTackles,unsucessfulTackles,tackles,sucessfulDribles,unsucessfulDribles,dribles,givenCorners,receivedCorners,receivedFouls,committedFouls,goodFinishes,postFinishes,badFinishes,finishes,goals,ownGoals,offsides,longPasses,sucessfulLongPasses,unsucessfulLongPasses,sucessfulPasses,unsucessfulPasses,passes,sucessfulPassesPercent,timePlayed,switchField,backPasses,nickname,substitute,substituted,win,draw,defeat
0,,19,14,Guarani,0,210,6,38,1,0,1,23,7,16,30.4,2,81,35,116,15,3,18,1,4,21,22,8,0,9,17,2,0,4,8,5,3,197,47,244,80.7,990,4,1,,0,0,1,0,0
0,,19,11,Fluminense,4,313,2,32,2,0,2,21,5,16,23.8,5,83,44,127,8,0,8,4,1,22,21,4,0,5,9,1,0,2,2,1,1,305,67,372,82,990,3,0,,0,0,0,0,1
0,,19,4,Atlético-MG,5,328,3,50,3,0,3,23,8,15,34.8,5,91,29,120,17,3,20,2,8,17,14,4,0,9,13,2,0,1,5,3,2,320,52,372,86,990,5,2,,0,0,0,0,1
0,,19,24,São Paulo,1,293,5,37,4,0,4,17,0,17,0,2,83,30,113,13,1,14,8,2,14,17,8,0,4,12,3,0,0,6,1,5,285,58,343,83.1,990,9,7,,0,0,1,0,0
0,,19,1,Flamengo,4,377,3,33,1,0,1,35,8,27,22.9,2,72,25,97,12,1,13,5,9,19,13,4,0,11,15,0,0,2,3,2,1,365,45,410,89,990,4,4,,0,0,0,1,0
0,,19,22,Santos,1,255,1,35,1,0,1,11,0,11,0,4,73,30,103,6,2,8,9,5,13,19,4,0,7,11,0,0,6,4,3,1,245,49,294,83.3,990,4,4,,0,0,0,1,0
0,,19,1094,Atlético-GO,8,252,2,33,4,0,4,8,1,7,12.5,3,70,46,116,10,2,12,6,2,12,25,7,0,8,15,4,0,1,1,1,0,246,44,290,84.8,990,1,4,,0,0,1,0,0
0,,19,21,Vitória,3,212,4,28,2,0,2,25,3,22,12,3,73,25,98,15,3,18,2,6,25,12,4,1,7,12,1,0,3,0,0,0,209,58,267,78.3,990,3,0,,0,0,0,0,1
0,,19,15,Internacional,6,322,1,31,2,0,2,31,6,25,19.4,0,71,16,87,12,5,17,2,7,21,16,4,0,11,15,2,0,5,8,5,3,317,30,347,91.4,990,5,1,,0,0,1,0,0
0,,19,631,Grêmio Prudente,0,221,0,29,3,0,3,16,5,11,31.3,2,65,39,104,11,4,15,7,2,16,21,0,1,6,7,0,0,2,1,0,1,211,54,265,79.6,990,5,3,,0,0,0,0,1
